time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2021-09-17,33.4,28.4,40.5,40,,,2.3,,1003.6,,
2021-09-18,34.3,29.4,41.5,37,,,2.6,,1004.6,,
2021-09-19,34.8,30.0,42.1,35,,,2.8,,1005.3,,
2021-09-20,36.1,30.7,43.9,34,,,2.4,,1004.0,,
2021-09-21,37.2,32.1,44.3,33,,,2.5,,1003.6,,
2021-09-22,36.3,32.4,41.7,42,,,3.1,,1004.3,,
2021-09-23,35.7,31.7,41.6,45,,,2.2,,1004.8,,
2021-09-24,35.4,31.3,41.9,43,,,2.4,,1004.2,,
2021-09-25,35.5,32.0,41.9,43,,,2.4,,1004.3,,
2021-09-26,35.1,31.2,40.7,48,,,2.7,,1005.6,,
2021-09-27,34.9,30.6,41.4,49,,,2.2,,1004.8,,
2021-09-28,34.8,30.6,41.3,45,,,2.4,,1003.9,,
2021-09-29,34.3,29.9,40.5,44,,,2.8,,1003.4,,
2021-09-30,34.1,29.0,41.3,45,,,2.3,,1003.4,,
2021-10-01,33.9,28.5,40.5,45,,,2.3,,1003.8,,
2021-10-02,34.6,29.1,41.4,43,,,1.7,,1004.0,,
2021-10-03,34.5,30.1,40.5,42,,,1.6,,1004.6,,
2021-10-04,34.0,29.9,39.7,46,,,2.5,,1005.9,,
2021-10-05,34.1,29.4,40.7,47,,,2.1,,1005.2,,
2021-10-06,34.7,29.6,41.5,45,,,1.5,,1004.4,,
2021-10-07,35.2,29.5,42.4,42,,,1.4,,1003.9,,
2021-10-08,35.5,30.2,42.1,41,,,1.5,,1004.4,,
2021-10-09,35.2,31.1,41.2,47,,,2.8,,1005.4,,
2021-10-10,34.7,30.4,40.7,51,,,3.0,,1007.1,,
2021-10-11,34.6,29.8,41.0,50,,,2.5,,1007.3,,
2021-10-12,34.9,29.3,42.0,46,,,3.2,,1006.1,,
2021-10-13,35.0,29.2,42.8,43,,,2.7,,1006.4,,
2021-10-14,34.9,29.3,42.5,43,,,2.7,,1007.8,,
2021-10-15,35.0,29.8,42.1,43,,,3.0,,1007.9,,
2021-10-16,35.3,29.5,43.1,41,,,1.8,,1007.2,,
2021-10-17,35.6,29.5,43.6,38,,,1.8,,1006.3,,
2021-10-18,35.9,29.7,44.2,37,,,1.5,,1006.6,,
2021-10-19,35.2,29.8,42.5,37,,,1.6,,1008.1,,
2021-10-20,34.4,28.9,41.5,41,,,1.6,,1010.0,,
2021-10-21,33.8,28.4,40.6,44,,,1.7,,1010.6,,
2021-10-22,33.8,28.0,41.2,44,,,1.6,,1010.3,,
2021-10-23,33.1,28.0,39.8,47,,,2.1,,1011.0,,
2021-10-24,32.3,27.7,38.4,52,,,2.5,,1010.9,,
2021-10-25,32.1,27.5,38.2,53,,,2.5,,1009.9,,
2021-10-26,31.8,27.2,37.6,54,,,2.6,,1009.6,,
2021-10-27,31.7,27.2,37.5,55,,,2.3,,1010.0,,
2021-10-28,31.5,27.3,37.2,56,,,2.4,,1009.8,,
2021-10-29,31.9,27.5,38.2,52,,,2.4,,1009.5,,
2021-10-30,32.3,27.2,39.8,49,,,2.0,,1010.3,,
2021-10-31,32.0,27.4,38.6,52,,,2.6,,1011.8,,
2021-11-01,31.5,27.3,37.4,57,,,2.6,,1011.8,,
2021-11-02,31.4,26.9,37.7,58,,,2.5,,1011.0,,
2021-11-03,31.7,26.7,38.7,56,,,1.8,,1010.7,,
2021-11-04,31.4,26.4,37.9,54,,,1.8,,1010.8,,
2021-11-05,31.4,26.2,38.0,53,,,2.1,,1009.7,,
2021-11-06,31.1,26.5,37.2,54,,,2.1,,1008.7,,
2021-11-07,30.7,25.8,36.8,53,,,1.9,,1007.5,,
2021-11-08,30.9,25.7,37.6,50,,,1.7,,1008.0,,
2021-11-09,30.4,25.6,36.3,52,,,2.4,,1010.2,,
2021-11-10,30.4,25.7,36.7,56,,,2.6,,1011.1,,
2021-11-11,30.0,25.6,35.9,58,,,2.9,,1009.8,,
2021-11-12,30.3,25.8,36.4,58,,,3.2,,1008.9,,
2021-11-13,29.8,26.3,35.4,60,,,3.2,,1009.0,,
2021-11-14,29.6,26.3,34.0,59,,,2.8,,1009.5,,
2021-11-15,29.4,25.5,34.7,61,,,2.2,,1010.0,,
2021-11-16,29.5,25.3,35.8,58,,,1.3,,1009.3,,
2021-11-17,30.1,25.1,36.7,52,,,1.3,,1009.1,,
2021-11-18,30.3,25.8,36.2,52,,,1.9,,1010.0,,
2021-11-19,29.3,25.9,34.4,57,,,2.0,,1009.5,,
2021-11-20,27.7,24.7,31.9,56,,,1.8,,1008.6,,
2021-11-21,27.0,24.2,31.4,53,,,1.5,,1009.6,,
2021-11-22,27.2,23.4,33.2,49,,,2.4,,1012.5,,
2021-11-23,28.0,23.2,34.9,48,,,2.1,,1012.3,,
2021-11-24,28.6,23.8,35.5,57,,,2.0,,1010.3,,
2021-11-25,29.0,24.3,35.4,62,,,1.8,,1010.6,,
2021-11-26,29.6,25.1,35.9,62,,,1.8,,1011.7,,
2021-11-27,30.2,25.5,36.7,60,,,1.7,,1012.4,,
2021-11-28,30.4,25.5,37.6,59,,,1.7,,1012.2,,
2021-11-29,30.6,25.3,38.2,55,,,1.9,,1012.3,,
2021-11-30,30.0,24.7,37.4,52,,,1.8,,1012.2,,
2021-12-01,29.1,24.1,36.3,55,,,2.4,,1010.5,,
2021-12-02,28.4,23.6,35.2,59,,,1.7,,1010.7,,
2021-12-03,28.6,23.7,35.4,57,,,1.7,,1012.0,,
